Target: FINCH

Observer: TorontoGS
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jun 2020 03:18:57.099    01 Jun 2020 03:26:47.182      470.08381648    
01 Jun 2020 14:55:43.997    01 Jun 2020 14:57:38.333      114.33563197    
01 Jun 2020 16:27:49.193    01 Jun 2020 16:35:28.198      459.00510815    
02 Jun 2020 03:12:38.856    02 Jun 2020 03:20:29.516      470.65994649    
02 Jun 2020 16:21:29.020    02 Jun 2020 16:29:12.996      463.97559769    
03 Jun 2020 03:06:21.548    03 Jun 2020 03:14:10.143      468.59501005    
03 Jun 2020 16:15:09.112    03 Jun 2020 16:22:55.430      466.31813395    
04 Jun 2020 03:00:05.181    04 Jun 2020 03:07:49.067      463.88624838    
04 Jun 2020 04:38:08.317    04 Jun 2020 04:39:42.683      94.366042921    
04 Jun 2020 16:08:49.480    04 Jun 2020 16:16:35.492      466.01203114    
05 Jun 2020 02:53:49.784    05 Jun 2020 03:01:26.269      456.48508372    
05 Jun 2020 04:30:47.930    05 Jun 2020 04:34:14.706      206.77599509    
05 Jun 2020 16:02:30.159    05 Jun 2020 16:10:13.149      462.99046988    
05 Jun 2020 17:39:26.893    05 Jun 2020 17:41:22.680      115.78689240    
06 Jun 2020 02:47:35.414    06 Jun 2020 02:55:01.706      446.29259192    
06 Jun 2020 04:23:51.208    06 Jun 2020 04:28:22.356      271.14833974    
06 Jun 2020 15:56:11.207    06 Jun 2020 16:03:48.343      457.13598859    
06 Jun 2020 17:32:26.335    06 Jun 2020 17:35:49.589      203.25336156    
07 Jun 2020 02:41:22.154    07 Jun 2020 02:48:35.304      433.14976785    
07 Jun 2020 04:17:02.795    07 Jun 2020 04:22:20.986      318.19017527    
07 Jun 2020 15:49:52.715    07 Jun 2020 15:57:20.986      448.27105949    
07 Jun 2020 17:25:40.294    07 Jun 2020 17:29:59.842      259.54813203    
08 Jun 2020 02:35:10.131    08 Jun 2020 02:42:06.951      416.81977162    
08 Jun 2020 04:10:19.182    08 Jun 2020 04:16:14.105      354.92305508    
08 Jun 2020 15:43:34.811    08 Jun 2020 15:50:50.952      436.14172916    
08 Jun 2020 17:18:59.867    08 Jun 2020 17:24:02.353      302.48541391    
09 Jun 2020 02:28:59.526    09 Jun 2020 02:35:36.483      396.95680226    
09 Jun 2020 04:03:38.856    09 Jun 2020 04:10:03.225      384.36975558    
09 Jun 2020 15:37:17.673    09 Jun 2020 15:44:18.063      420.39010751    
09 Jun 2020 17:12:22.540    09 Jun 2020 17:17:59.647      337.10756851    
10 Jun 2020 02:22:50.602    10 Jun 2020 02:29:03.653      373.05067470    
10 Jun 2020 03:57:01.004    10 Jun 2020 04:03:49.166      408.16179863    
10 Jun 2020 15:31:01.558    10 Jun 2020 15:37:42.066      400.50714794    
10 Jun 2020 17:05:47.178    10 Jun 2020 17:11:52.872      365.69432599    
