# Satellite Encounter Windows
DATA LINK TRANSMISSION WINDOW	2020-06-07 16:25:51.691000	ELAPSED SECONDS:	189.58491892553866
LIMB IMAGING WINDOW	2020-06-07 22:40:17.628000	ELAPSED SECONDS:	94.5761346956715
LIMB IMAGING WINDOW	2020-06-07 22:51:20.650000	ELAPSED SECONDS:	94.80846690712497
LIMB IMAGING WINDOW	2020-06-08 00:14:37.419000	ELAPSED SECONDS:	94.52925806399435
LIMB IMAGING WINDOW	2020-06-08 01:49:46.313000	ELAPSED SECONDS:	94.52087762765586
DATA LINK TRANSMISSION WINDOW	2020-06-08 03:09:12.155000	ELAPSED SECONDS:	233.24936946155503
TTC TRANSMISSION WINDOW	2020-06-08 03:09:12.155000	ELAPSED SECONDS:	233.24936946155503
LIMB IMAGING WINDOW	2020-06-08 03:27:11.036000	ELAPSED SECONDS:	94.61724478751421
LIMB IMAGING WINDOW	2020-06-08 11:04:29.206000	ELAPSED SECONDS:	93.32941921893507
LIMB IMAGING WINDOW	2020-06-08 12:43:38.655000	ELAPSED SECONDS:	33.58275576028973
TTC TRANSMISSION WINDOW	2020-06-08 16:15:25.905000	ELAPSED SECONDS:	379.23232776811346
DATA LINK TRANSMISSION WINDOW	2020-06-08 16:17:00.688000	ELAPSED SECONDS:	189.62574518518522
LIMB IMAGING WINDOW	2020-06-08 22:31:24.487000	ELAPSED SECONDS:	94.61889968952164
LIMB IMAGING WINDOW	2020-06-08 22:42:27.716000	ELAPSED SECONDS:	94.81867260765284
NADIR IMAGING WINDOW	2020-06-09 00:11:17.495000	ELAPSED SECONDS:	94.7652398608625
TTC TRANSMISSION WINDOW	2020-06-09 03:00:12.205000	ELAPSED SECONDS:	318.9368812018074
DATA LINK TRANSMISSION WINDOW	2020-06-09 03:01:45.683000	ELAPSED SECONDS:	133.55216863565147
LIMB IMAGING WINDOW	2020-06-09 03:18:04.868000	ELAPSED SECONDS:	189.35888319974765
LIMB IMAGING WINDOW	2020-06-09 10:55:28.585000	ELAPSED SECONDS:	93.37527807801962
TTC TRANSMISSION WINDOW	2020-06-09 16:06:35.438000	ELAPSED SECONDS:	379.30932770250365
DATA LINK TRANSMISSION WINDOW	2020-06-09 16:08:10.250000	ELAPSED SECONDS:	189.6650950773619
NADIR IMAGING WINDOW	2020-06-10 00:02:55.652000	ELAPSED SECONDS:	94.80671236524358
LIMB IMAGING WINDOW	2020-06-10 01:31:45.966000	ELAPSED SECONDS:	94.60588835645467
TTC TRANSMISSION WINDOW	2020-06-10 02:51:16.675000	ELAPSED SECONDS:	232.83006821293384
DATA LINK TRANSMISSION WINDOW	2020-06-10 02:53:14.089000	ELAPSED SECONDS:	115.41564805665985
LIMB IMAGING WINDOW	2020-06-10 03:07:41.830000	ELAPSED SECONDS:	94.63558732531965
LIMB IMAGING WINDOW	2020-06-10 03:10:51.165000	ELAPSED SECONDS:	94.75061134435236
LIMB IMAGING WINDOW	2020-06-10 07:47:58.284000	ELAPSED SECONDS:	94.30688983993605
LIMB IMAGING WINDOW	2020-06-10 10:46:26.346000	ELAPSED SECONDS:	93.41739997034892
LIMB IMAGING WINDOW	2020-06-10 10:58:14.544000	ELAPSED SECONDS:	94.28122801473364
LIMB IMAGING WINDOW	2020-06-10 12:23:37.399000	ELAPSED SECONDS:	93.54131645523012
LIMB IMAGING WINDOW	2020-06-10 12:31:42.950000	ELAPSED SECONDS:	94.1434106673114
TTC TRANSMISSION WINDOW	2020-06-10 15:58:21.409000	ELAPSED SECONDS:	284.5410716137849
DATA LINK TRANSMISSION WINDOW	2020-06-10 15:59:56.254000	ELAPSED SECONDS:	189.6959432051517
LIMB IMAGING WINDOW	2020-06-10 22:23:54.689000	ELAPSED SECONDS:	94.83642422128469
NADIR IMAGING WINDOW	2020-06-10 23:54:23.810000	ELAPSED SECONDS:	94.84137289691716
LIMB IMAGING WINDOW	2020-06-11 01:22:51.911000	ELAPSED SECONDS:	94.65762753970921
TTC TRANSMISSION WINDOW	2020-06-11 02:43:26.782000	ELAPSED SECONDS:	176.10999075695872
LIMB IMAGING WINDOW	2020-06-11 02:58:55.918000	ELAPSED SECONDS:	94.69211268005893
TTC TRANSMISSION WINDOW	2020-06-11 04:19:17.948000	ELAPSED SECONDS:	77.82895385753363
