Target: FINCHSat

Observer: TorontoCOMMS
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
30 Jul 2020 14:59:11.343    30 Jul 2020 15:00:05.725      54.381940432    
01 Aug 2020 19:49:57.690    01 Aug 2020 19:51:00.304      62.613901729    
02 Aug 2020 14:08:54.106    02 Aug 2020 14:09:55.540      61.433911335    
02 Aug 2020 19:00:56.873    02 Aug 2020 19:01:12.434      15.561044519    
03 Aug 2020 13:19:29.998    03 Aug 2020 13:20:00.726      30.727700901    
05 Aug 2020 18:06:50.852    05 Aug 2020 18:07:53.102      62.249941158    
06 Aug 2020 12:24:34.745    06 Aug 2020 12:25:39.457      64.711811102    
08 Aug 2020 17:09:36.365    08 Aug 2020 17:10:35.151      58.785429108    
09 Aug 2020 11:26:25.005    09 Aug 2020 11:27:22.691      57.685624610    
09 Aug 2020 16:17:48.117    09 Aug 2020 16:18:12.900      24.782824237    
10 Aug 2020 10:34:20.745    10 Aug 2020 10:34:40.443      19.698598457    
11 Aug 2020 16:08:45.761    11 Aug 2020 16:09:16.562      30.801261845    
12 Aug 2020 10:24:31.435    12 Aug 2020 10:25:06.964      35.528980871    
12 Aug 2020 15:15:13.306    12 Aug 2020 15:16:05.716      52.409401909    
13 Aug 2020 09:30:40.351    13 Aug 2020 09:31:31.204      50.853271305    
15 Aug 2020 14:08:39.357    15 Aug 2020 14:09:37.693      58.335196122    
16 Aug 2020 08:22:59.847    16 Aug 2020 08:23:55.434      55.587392743    
18 Aug 2020 12:57:41.108    18 Aug 2020 12:58:38.495      57.387183700    
19 Aug 2020 07:10:51.372    19 Aug 2020 07:11:43.323      51.951584034    
21 Aug 2020 06:52:15.876    21 Aug 2020 06:52:43.716      27.840101207    
21 Aug 2020 11:41:57.790    21 Aug 2020 11:42:46.001      48.211290501    
22 Aug 2020 05:53:56.846    22 Aug 2020 05:54:27.670      30.824179330    
23 Aug 2020 11:20:33.247    23 Aug 2020 11:21:17.979      44.731825241    
24 Aug 2020 05:31:22.085    24 Aug 2020 05:32:14.301      52.216102125    
26 Aug 2020 09:55:27.924    26 Aug 2020 09:56:27.056      59.131534654    
27 Aug 2020 04:04:48.812    27 Aug 2020 04:05:42.346      53.534601687    
29 Aug 2020 03:35:25.570    29 Aug 2020 03:36:09.450      43.880218326    


Number of events : 81


