DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.EarthMJ2000Eq.Y,DefaultSC.EarthMJ2000Eq.Z
29001.55006169829,761.2563486586868,-481.1664721997495,-6854.932141915132
29001.55020387446,700.84244552179,-552.1181582090709,-6855.414742395936
29001.55067208928,501.0494392098606,-785.0003803310858,-6848.20458431913
29001.55166343526,75.26572688884576,-1272.428355502069,-6788.442343949352
29001.5527411741,-388.2506640830669,-1789.459568824641,-6655.375370489027
29001.55382789546,-851.5073387330511,-2291.856169270895,-6450.61272161907
29001.55491444631,-1305.626825086782,-2769.78230556558,-6177.04258758148
29001.55599976288,-1745.328236531587,-3217.675483712673,-5837.831508419644
29001.55708370365,-2165.893156199121,-3630.750196943689,-5436.73497775862
29001.55816626727,-2562.876403371597,-4004.666265385833,-4978.134932746962
29001.55924747165,-2932.101744654514,-4335.51875996612,-4467.014108835649
29001.56032737966,-3269.712879777486,-4619.883440767532,-3908.883772399053
29001.56140608136,-3572.203790277305,-4854.840778419138,-3309.725383849647
29001.56248369653,-3836.452002919222,-5038.001144176292,-2675.921012991841
29001.56356034894,-4059.741060490636,-5167.520236016875,-2014.198242088234
29001.56463615729,-4239.786530164332,-5242.116726589922,-1331.565452432752
29001.56571142839,-4374.780716819394,-5261.084944534971,-635.1126929533109
29001.56678631638,-4463.349593627344,-5224.273257599308,67.84424197926464
29001.56786103174,-4504.602028259353,-5132.101068024479,769.9677822448783
29001.56893576778,-4498.127808886457,-4985.551372354663,1463.924502785886
29001.57001075401,-4444.000847812938,-4786.153253940957,2142.491648795271
29001.57108619617,-4342.776579240363,-4535.972575089105,2798.588668792443
29001.57216229896,-4195.48724167772,-4237.589713707454,3425.361047070344
29001.57323923261,-4003.637793776673,-3894.085096168963,4016.228917491237
29001.57388672084,-3867.746540345371,-3667.469828381406,4351.345213650498
29001.57418769451,-3799.511244458218,-3557.302910304064,4501.513863195013
29001.57428883818,-3775.873113483901,-3519.616663729943,4551.147942535999
29001.57438086489,-3754.059715150962,-3485.042163810598,4595.938443490945
29001.5744666226,-3733.471430457985,-3452.580760508474,4637.357630555914
29001.5747292485,-3668.871329849285,-3351.740732861095,4762.250413512081
29001.57551051449,-3463.240907876119,-3039.568559449193,5115.758379358078
29001.57655276888,-3159.218475960902,-2597.173649749257,5542.734485106838
29001.57763014575,-2812.275971908352,-2113.031390718754,5926.505467406181
29001.57871273336,-2433.909484023123,-1604.201348016626,6249.25935656909
29001.57979714251,-2029.089799380859,-1077.500477924995,6506.085034219442
29001.58088299434,-1602.196073237647,-538.6637104328195,6694.009370866955
29001.58197021141,-1157.755452992119,6.568787551302048,6810.903698531888
29001.58305872887,-700.4886049827649,552.3830099673606,6855.408289258641
29001.58414849449,-235.2571543639205,1092.954860671462,6826.942656590505
29001.58523940557,232.9621476092683,1622.482427811493,6725.715333649323
29001.58633135297,699.1502123258127,2135.272630516132,6552.729773285521
29001.58742423452,1158.306919004277,2625.810726937304,6309.771908955224
29001.5885179183,1605.491258561536,3088.805426131854,5999.399909205916
29001.58961230375,2035.90163002609,3519.274827373914,5624.902285516412
29001.59070726617,2444.90638234885,3912.578004869683,5190.276284382704
29001.59180270221,2828.113032756188,4264.484550624636,4700.168973026252
29001.59289851477,3181.409828567594,4571.213710834684,4159.828636423954
29001.59399461397,3501.010525265869,4829.475170170927,3575.045517875049
29001.59509091932,3783.495537353242,5036.50424828232,2952.085910396408
29001.59618736382,4025.84872995125,5190.090701996506,2297.619871521777
29001.59728391232,4225.490888138705,5288.600933599278,1618.63548820889
29001.59838052437,4380.296768668455,5330.987251715268,922.384774081643
29001.59947716444,4488.619770186959,5316.800209867147,216.3002469217
29001.60057381264,4549.308882636971,5246.191310415137,-492.0913270596055
29001.60167046584,4561.717505471529,5119.9073362663,-1195.249310920848
29001.60276708745,4525.709310892759,4939.287895180029,-1885.666224393474
29001.60386367075,4441.660767494825,4706.24455044668,-2555.987122014155
29001.60496018907,4310.457686477333,4423.247676983169,-3199.055370174951
29001.60605660685,4133.488146707073,4093.301503679475,-3807.996175741546
29001.60715288651,3912.628136034705,3719.911811099963,-4376.294068610507
29001.60824896874,3650.227227122211,3307.057097557352,-4897.853282206599
29001.60934478655,3349.083549131568,2859.144144870914,-5367.073216043072
29001.61044026357,3012.415726894535,2380.962793285321,-5778.910041014631
29001.61153530368,2643.83343039772,1877.640564126529,-6128.930886486088
29001.61262981959,2247.290335742579,1354.575259181245,-6413.374730904876
29001.61372368737,1827.057985910759,817.3980036418393,-6629.18388738153
29001.6148168074,1387.657606587679,271.8827267205994,-6774.056105720092
29001.61590906063,933.826551098362,-276.0966548880559,-6846.461644358646
29001.61620993778,806.8550831718476,-426.7761286218596,-6853.561665626551
29001.6164013585,725.7278749623007,-522.4674509548795,-6855.179839996139
29001.61657605627,651.4796019975926,-609.6501286855837,-6854.687622147557
29001.61691400186,507.36180971149,-777.8072066160694,-6848.400658997778
29001.61783296105,113.2718359448813,-1230.543966283747,-6795.779808517247
29001.6189021898,-346.1331860927544,-1745.339031202366,-6669.581649167833
29001.61998802483,-809.0034268566197,-2249.736251033676,-6471.061323446929
29001.62107457011,-1263.567444099278,-2730.531226062205,-6203.390802067815
29001.6221599736,-1704.19937036016,-3181.748858587157,-5869.769097514821
29001.62324401222,-2126.135171276428,-3598.529273504385,-5473.907421587822
29001.62432667214,-2524.90907148604,-3976.486785655496,-5020.136153865509
29001.62540796905,-2896.324125701592,-4311.672106689556,-4513.388503709603
29001.62648795496,-3236.496737880034,-4600.611905203512,-3959.136306558382
29001.62756671269,-3541.892067057009,-4840.337808784409,-3363.326591443973
29001.62864437374,-3809.360857322366,-5028.413841245155,-2732.301975648986
29001.62972106973,-4036.154304160124,-5162.94530973661,-2072.757376887035
29001.6307968615,-4219.941628653253,-5242.594792522207,-1391.716273387321
29001.63187213625,-4358.891722469612,-5266.612550605111,-696.2029635581919
29001.63294701738,-4451.583842284838,-5234.79182945439,6.456797015015631
29001.63402171689,-4497.084640175694,-5147.500719410957,708.9292159833249
29001.63509645026,-4494.939646577421,-5005.66841675887,1403.891414638137
29001.63617141836,-4445.177426167829,-4810.778120850934,2084.091631738415
29001.63724683506,-4348.308553651772,-4564.848123937679,2742.437932550475
29001.63832289797,-4205.321409060378,-4270.416775599566,3372.048922780341
29001.63939979453,-4017.673905327598,-3930.518390258912,3966.325767055514
29001.64047767883,-3787.285881187435,-3548.663530456599,4519.006275753111
29001.64071688768,-3730.626717883454,-3458.67670449643,4635.352040167581
29001.64096257589,-3670.408464986258,-3364.375816747089,4752.326008859783
29001.64169498557,-3479.060426313279,-3072.496552655893,5085.245925621503
29001.64272963168,-3180.077843600448,-2634.988506415805,5512.821801407859
29001.64380606981,-2836.293702532955,-2152.718594445038,5900.653333168179
29001.64488851242,-2460.610050059651,-1645.006217128011,6228.084101728936
29001.64597286674,-2058.165398857191,-1118.95074656786,6489.852274435609
29001.64705868201,-1633.334831485458,-580.3112518490423,6682.903863095903
29001.64814586476,-1190.628565454707,-34.83276788439144,6805.051018443513
29001.64923435478,-734.7461937707565,511.6710097065383,6854.877959976178
29001.65032409669,-270.5352596505368,1053.367600989027,6831.746635627005
29001.65141498992,197.0398328302393,1584.444549990181,6735.807812720988
29001.65250691412,662.9625526722979,2099.187308659416,6568.009531388369
29001.65359978645,1122.244166230082,2592.069619052971,6330.078660439885
29001.65469346851,1569.939651207463,3057.771888207435,6024.519035013676
29001.65578785433,2001.239786694602,3491.280994826851,5654.568521818673
29001.65688283463,2411.509072640211,3887.928931892913,5224.168992861692
29001.65797827864,2796.331150776062,4243.439548730731,4737.932636512986
29001.65907410651,3151.583222159969,4553.999583382091,4201.059138696981
29001.6601702116,3473.45299526492,4816.273530939291,3619.310121381942
29001.66126654151,3758.504568536058,5027.460217172896,2998.904249103536
29001.66236302668,4003.692094592999,5185.302320576851,2346.484222210996
29001.66345962086,4206.402646427894,5288.117960401191,1669.022331347449
29001.66455627294,4364.476512809946,5334.812751067037,973.7610737076011
29001.66565296728,4476.23471316076,5324.891562124867,268.1098727967646
29001.66674966553,4540.487259490374,5258.459835268026,-440.3972765145502
29001.6678463445,4556.55042405555,5136.223188412911,-1144.205617552045
29001.66894300139,4524.250386668539,4959.475187877606,-1835.822500450288
29001.67003961839,4443.92392957106,4730.08709884052,-2507.873075383734
29001.67113614612,4316.420456571406,4450.496555235287,-3153.169170709747
29001.67223255615,4143.090279385898,4123.6720465273,-3764.818116692856
29001.67332882644,3925.769136119995,3753.082269261882,-4336.285176233686
29001.67442489672,3666.769094053983,3342.676091866418,-4861.44053499589
29001.67552068935,3368.855210164332,2896.838733006852,-5334.641222618741
29001.67661614999,3035.205777048482,2420.329043540342,-5750.810793629639
29001.677711174,2669.400270094844,1918.259981903112,-6105.466288795183
29001.67880567247,2275.363235081893,1396.016775565026,-6394.797045835362
29001.67989954309,1857.330928021766,859.2111252411149,-6615.697357447212
29001.68099268171,1419.801720805113,313.6147619343471,-6765.806641530565
29001.68208497052,967.4917601199437,-234.8981884369742,-6843.536474518164
29001.68233255895,863.357820014043,-359.0905637917862,-6850.997987967177
29001.68244738087,814.9002925213955,-416.6234327096247,-6853.179040648912
29001.68254990514,771.5512035713814,-467.9530667779017,-6854.440918231091
29001.68267994913,716.4623390144581,-532.996686631543,-6855.110616792922
29001.68310762973,534.5691098885344,-746.2856703541069,-6849.968339048949
29001.68409076186,113.6106050977818,-1231.372596839242,-6795.478067008961
29001.6851680622,-348.6636819804987,-1750.502772825522,-6667.915472846496
29001.68625478686,-811.2776507668459,-2255.645553374643,-6468.533929603563
29001.68734140601,-1265.209684049659,-2736.731460192234,-6200.137512447833
29001.68842680287,-1705.158048308144,-3188.13544620189,-5865.83877667166
29001.68951082213,-2126.39507526518,-3605.027499005203,-5469.344209543869
29001.69059343934,-2524.459278314594,-3983.018684118792,-5014.997984954761
29001.69167469155,-2895.169963958406,-4318.168520056865,-4507.732579797746
29001.69275463808,-3234.653493284558,-4607.006549514763,-3953.021713181401
29001.69383335667,-3539.38063836242,-4846.564241472061,-3356.819582558615
29001.69491098309,-3806.210368600494,-5034.408524741773,-2725.470425411355
29001.69598764429,-4032.399550074093,-5168.646594424907,-2065.675127697979
29001.69706336956,-4215.619501788421,-5247.943254838066,-1384.480013268265
29001.69813862871,-4354.058307167148,-5271.557593109703,-688.8581368713553
29001.69921351338,-4446.292641698506,-5239.281520291835,13.84444179584406
29001.70028820542,-4491.391359395335,-5151.488665434014,716.2739823038859
29001.70136293063,-4488.905932489828,-5009.113972077932,1411.115040417701
29001.70243789874,-4438.868494820275,-4813.644946356413,2091.123050446924
29001.70351332838,-4341.791384421535,-4567.103843729164,2749.210863753112
29001.70458940514,-4198.66581304942,-4272.037452866224,3378.492293258333
29001.70566632034,-4010.950707815921,-3931.485532834517,3972.374261326713
29001.70674421445,-3780.569604374068,-3548.970201130906,4524.591836108694
29001.70687881323,-3748.935870798647,-3498.478531465022,4590.289753323818
29001.70700241352,-3719.341788866478,-3451.603791126533,4649.95023731376
29001.70737310261,-3627.499286718365,-3308.167915793774,4824.953684413606
29001.70832638757,-3370.771996125005,-2920.747472913998,5246.710475431348
29001.70939230754,-3050.877110565958,-2459.16364207736,5666.736002487416
29001.71047282593,-2694.560851792414,-1965.440701303792,6032.792120577666
29001.71155622858,-2308.740942893523,-1449.574322191983,6335.716261169148
29001.71264120509,-1897.864275422187,-917.5783426394388,6571.669403878079
29001.71372759493,-1466.306844421131,-375.1495566604696,6737.978565779062
29001.71481533452,-1018.643919597799,171.9362095561458,6832.751026144416
29001.71590436892,-559.6293314952861,717.8465499872754,6854.864480979963
29001.71699459608,-94.16731857230154,1256.728380652829,6803.980475302131
29001.71808593977,372.7714518632094,1782.808709877238,6680.552883189441
29001.71917828217,836.175889931269,2290.425456823471,6485.828560671497
29001.72027152274,1291.074876510457,2774.119029549298,6221.831024755566
29001.72136553704,1732.575084858385,3228.67418009343,5891.34658773408
29001.72246020341,2155.926958850944,3649.191082224687,5497.890554408511
29001.72355540954,2556.579835523438,4031.141858782879,5045.664693858998
29001.72465105582,2930.23266792573,4370.420352251783,4539.506870866019
29001.72574704167,3272.875937953691,4663.381813984581,3984.842199576669
29001.72684328889,3580.842297129633,4906.888177775854,3387.610669751236
29001.72793973605,3850.841981667717,5098.336744310974,2754.201583303796
29001.72903631589,4079.991336238412,5235.682350539517,2091.396001881049
29001.73013298364,4265.849500016569,5317.462583661763,1406.27633847449
29001.73122969097,4406.437504617156,5342.808088689159,706.1650394396344
29001.73232641781,4500.262339721401,5311.451223467895,-1.474198203770811
29001.73342314213,4546.326200074494,5223.724939913321,-709.096815714888
29001.73451985645,4544.137051699771,5080.557313104295,-1409.16722960272
29001.73561651756,4493.714053148476,4883.468547896512,-2094.206105199906
29001.736713102,4395.588999219507,4634.549752181509,-2756.90505343168
29001.73780958777,4250.799220458583,4336.441610102414,-3390.191592992649
29001.73890594148,4060.878869586704,3992.310671491994,-3987.296483655932
29001.74000211146,3827.846713626143,3605.820991208077,-4541.823649733722
29001.7410980488,3554.182617400996,3181.090187956443,-5047.83117016851
29001.74219368541,3242.80731538115,2722.654729306387,-5499.88561514694
29001.74328895782,2897.046580427524,2235.413406085083,-5893.133204892039
29001.7443837623,2520.611006372315,1724.595688812796,-6223.338818312468
29001.74547801731,2117.537483101844,1195.678331501467,-6486.957410157204
29001.74657161209,1692.163194670227,654.3496749601301,-6681.159076861205
29001.74766441657,1249.076866718865,106.4436856587386,-6803.870999740391
29001.74830513299,982.791789177707,-215.6992797290539,-6842.041139365552
29001.74862242681,849.5256681522131,-375.0103952972676,-6851.62248618537
29001.74874175854,799.2007580867478,-434.8463240393872,-6853.624000002216
29001.74885271681,752.3155689154761,-490.4339985172529,-6854.698757928258
29001.74898658331,695.6406298738573,-557.4256452291589,-6854.986491289803
29001.74937444066,530.8358466005439,-750.9798095763185,-6849.58881652005
29001.7503677977,106.0132738560763,-1241.46253215781,-6793.558318387077
29001.75144627176,-356.1490791416148,-1761.382555696099,-6664.436169159726
29001.75253310044,-818.1068858238126,-2266.673467297424,-6463.592282445674
29001.75361969831,-1271.25611486729,-2747.729210931018,-6193.801748852678
29001.75470504075,-1710.344270193223,-3198.970960314684,-5858.185671487801
29001.75578900841,-2130.668119156333,-3615.586815896701,-5460.456390884559
29001.75687157983,-2527.776926881822,-3993.191786700629,-5004.969459232458
29001.75795278342,-2897.497026162296,-4327.846678255009,-4496.672904758351
29001.75903267892,-3235.965819731552,-4616.087149730573,-3941.051625004377
29001.76011136692,-3539.671374573999,-4854.956358303849,-3344.056714324143
29001.76118894421,-3805.472718768872,-5042.020310311294,-2712.062155862904
29001.76226556732,-4030.645588577865,-5175.400666525386,-2051.758693899257
29001.76334124464,-4212.868125792396,-5253.769320806178,-1370.210539689978
29001.76441646651,-4350.34248102275,-5276.396878160895,-674.3810968747073
29001.76549132079,-4441.654399947457,-5243.084790976286,28.37952206973863
29001.76656600782,-4485.882314777125,-5154.214999969221,730.7294237127272
